***********************************
*    Row   * Instance * m_Hits.m_ *
***********************************
*        0 *        0 * 0.1097186 *
*        0 *        1 * 0.3614670 *
*        0 *        2 * 0.2479563 *
*        0 *        3 * 1.5946400 *
*        0 *        4 * 0.3782752 *
*        0 *        5 * 0.1375778 *
*        0 *        6 * 2.4886286 *
*        0 *        7 * 2.1960675 *
*        0 *        8 * 0.0336867 *
*        0 *        9 * 1.7374431 *
*        0 *       10 * 0.6512246 *
*        0 *       11 * 5.2684941 *
*        0 *       12 * 2.7192512 *
*        0 *       13 * 0.3168391 *
*        0 *       14 * 1.0268614 *
*        0 *       15 * 2.8050069 *
*        0 *       16 * 0.3156318 *
*        0 *       17 * 2.2196269 *
*        0 *       18 * 0.1337031 *
*        0 *       19 * 0.0815935 *
*        0 *       20 * 0.4294343 *
*        0 *       21 * 4.3805598 *
*        0 *       22 * 2.5703875 *
*        0 *       23 * 0.1486913 *
*        0 *       24 * 0.4417789 *
*        0 *       25 * 0.0186903 *
*        0 *       26 * 0.1933458 *
*        0 *       27 * 0.3300633 *
*        0 *       28 * 0.1671418 *
*        0 *       29 * 2.0426443 *
*        0 *       30 * 4.9361427 *
*        0 *       31 * 0.2522131 *
*        0 *       32 * 3.5530574 *
*        0 *       33 * 3.8248433 *
*        0 *       34 * 0.7820938 *
*        0 *       35 * 0.0479973 *
*        0 *       36 * 0.8655457 *
*        0 *       37 * 0.4376769 *
*        0 *       38 * 0.1929552 *
*        0 *       39 * 0.8364402 *
*        0 *       40 * 0.9768651 *
*        0 *       41 * 2.6481777 *
*        0 *       42 * 8.5350869 *
*        0 *       43 * 0.6620396 *
*        0 *       44 * 0.3351586 *
*        0 *       45 * 0.5245734 *
*        0 *       46 * 0.7751854 *
*        0 *       47 * 6.9233586 *
*        0 *       48 * 0.5793908 *
*        0 *       49 * 1.4355899 *
*        0 *       50 * 6.7304221 *
*        0 *       51 * 0.0055337 *
*        0 *       52 * 0.9917965 *
*        0 *       53 * 0.8564542 *
*        0 *       54 * 1.6138087 *
*        0 *       55 * 1.6176539 *
*        0 *       56 * 0.0504282 *
*        0 *       57 * 1.2568427 *
*        0 *       58 * 2.7662796 *
*        0 *       59 * 6.9944367 *
*        0 *       60 * 0.5350155 *
*        0 *       61 * 0.6049657 *
*        0 *       62 * 0.0030828 *
*        0 *       63 * 0.1934087 *
*        0 *       64 * 0.1073979 *
*        0 *       65 * 1.3576273 *
*        0 *       66 * 2.0457391 *
*        0 *       67 * 0.1836940 *
*        0 *       68 * 0.3818291 *
*        0 *       69 * 1.3293833 *
*        0 *       70 * 1.7669621 *
*        0 *       71 * 0.2359170 *
*        0 *       72 * 6.3048600 *
*        0 *       73 * 1.1126096 *
*        0 *       74 * 0.1955535 *
*        0 *       75 * 2.2882562 *
*        0 *       76 * 2.4048628 *
*        0 *       77 * 1.1972284 *
*        0 *       78 * 1.8811228 *
*        0 *       79 * 0.0371748 *
*        0 *       80 * 1.1412353 *
*        0 *       81 * 0.4816723 *
*        0 *       82 * 0.1767577 *
*        0 *       83 *  0.200716 *
*        0 *       84 * 0.1691831 *
*        0 *       85 * 0.0102097 *
*        0 *       86 * 0.1527044 *
*        0 *       87 * 0.0981790 *
*        0 *       88 * 0.1646649 *
*        0 *       89 * 6.4178753 *
*        0 *       90 * 1.9376691 *
*        0 *       91 * 0.7420317 *
*        0 *       92 * 5.7027895 *
*        0 *       93 * 4.1908257 *
*        0 *       94 * 1.4354196 *
*        0 *       95 * 1.0265782 *
*        0 *       96 * 0.5123518 *
*        0 *       97 * 10.861277 *
*        0 *       98 * 1.1932090 *
*        0 *       99 * 1.9253128 *
*        0 *      100 * 0.7450438 *
*        0 *      101 * 0.6396684 *
*        0 *      102 * 0.4153335 *
*        0 *      103 * 0.0762216 *
*        0 *      104 * 0.0177429 *
*        0 *      105 *  1.493761 *
*        0 *      106 * 1.0703149 *
*        0 *      107 * 0.4209323 *
*        0 *      108 * 1.7323099 *
*        0 *      109 * 1.4297418 *
*        0 *      110 * 0.2425497 *
*        0 *      111 * 0.7667088 *
*        0 *      112 * 1.8663408 *
*        0 *      113 * 0.0115832 *
*        0 *      114 * 0.0484195 *
*        0 *      115 * 0.1210182 *
*        0 *      116 * 0.0638056 *
*        0 *      117 * 0.6736029 *
*        0 *      118 * 8.0691668 *
*        0 *      119 * 6.7554179 *
*        0 *      120 * 5.2784787 *
*        0 *      121 * 4.5193402 *
*        0 *      122 * 0.0700993 *
*        0 *      123 * 0.0311565 *
*        0 *      124 * 0.3339407 *
*        0 *      125 * 0.0378667 *
*        0 *      126 * 0.1982467 *
*        0 *      127 * 0.0282927 *
*        0 *      128 * 0.5093467 *
*        0 *      129 * 7.5698133 *
*        0 *      130 * 13.214857 *
*        0 *      131 * 2.7819305 *
*        0 *      132 * 1.7471644 *
*        0 *      133 * 0.5667743 *
*        0 *      134 * 0.8956063 *
*        0 *      135 * 0.1299278 *
*        0 *      136 * 0.2143253 *
*        0 *      137 * 0.0498487 *
*        0 *      138 * 2.1074963 *
*        0 *      139 * 8.0980929 *
*        0 *      140 * 5.5126374 *
*        0 *      141 * 4.0180749 *
*        0 *      142 * 1.1157825 *
*        0 *      143 * 0.3876178 *
*        0 *      144 * 0.0963806 *
*        0 *      145 * 4.9020767 *
*        0 *      146 * 8.3068722 *
*        0 *      147 * 2.4954775 *
*        0 *      148 * 5.1434809 *
*        0 *      149 * 0.5440819 *
*        0 *      150 * 0.3285523 *
*        0 *      151 * 0.6111093 *
*        0 *      152 * 0.0017888 *
*        0 *      153 * 1.1400014 *
*        0 *      154 * 1.8235948 *
*        0 *      155 * 1.5071433 *
*        0 *      156 * 0.7264105 *
*        0 *      157 * 0.1297471 *
*        0 *      158 * 1.8280022 *
*        0 *      159 * 6.0918470 *
*        0 *      160 * 1.9378991 *
*        0 *      161 * 1.2878769 *
*        0 *      162 * 9.0419616 *
*        0 *      163 * 2.9737051 *
*        0 *      164 * 0.6556581 *
*        0 *      165 * 0.0154382 *
*        0 *      166 * 2.8393554 *
*        0 *      167 * 0.4411111 *
*        0 *      168 * 0.0513175 *
*        0 *      169 * 0.2306886 *
*        0 *      170 * 0.6227388 *
*        0 *      171 * 1.4740157 *
*        0 *      172 * 1.0116057 *
*        0 *      173 * 1.3929653 *
*        0 *      174 * 1.6322420 *
*        0 *      175 * 2.4157467 *
*        0 *      176 * 2.5231142 *
*        0 *      177 * 1.2053936 *
*        0 *      178 * 2.3091780 *
*        0 *      179 * 4.8356565 *
*        0 *      180 * 3.8367848 *
*        0 *      181 * 0.1035790 *
*        0 *      182 * 1.4373620 *
*        0 *      183 * 6.6137795 *
*        0 *      184 * 4.7339430 *
*        0 *      185 * 3.7849717 *
*        0 *      186 * 1.9971323 *
*        0 *      187 * 0.2810861 *
*        0 *      188 * 1.6585936 *
*        0 *      189 * 1.4632457 *
*        0 *      190 * 11.671972 *
*        0 *      191 * 0.0095980 *
*        0 *      192 * 0.3761842 *
*        0 *      193 * 0.0046045 *
*        0 *      194 * 0.4836523 *
*        0 *      195 * 0.2907046 *
*        0 *      196 * 0.0274877 *
*        0 *      197 * 0.0002947 *
*        0 *      198 * 0.0147840 *
*        0 *      199 * 0.0002817 *
*        0 *      200 * 0.2008963 *
*        0 *      201 * 0.0975107 *
*        0 *      202 * 2.3448787 *
*        0 *      203 * 2.8609920 *
*        0 *      204 * 0.8778525 *
*        0 *      205 * 1.7706991 *
*        0 *      206 * 2.5326543 *
*        0 *      207 * 0.7082945 *
*        0 *      208 * 1.4931844 *
*        0 *      209 * 1.9698181 *
*        0 *      210 * 12.546099 *
*        0 *      211 * 0.7683313 *
*        0 *      212 * 0.1318112 *
*        0 *      213 * 1.3305690 *
*        0 *      214 * 0.7626457 *
*        0 *      215 * 7.1148587 *
*        0 *      216 * 2.2719413 *
*        0 *      217 * 0.2139640 *
*        0 *      218 * 2.8515441 *
*        0 *      219 * 6.0074288 *
